미션명,패치URL,이미지 URL,동영상 URL,공식 웹페이지,로켓 이동경로 이미지
IMAP,https://spacexpatchlist.space,https://science.nasa.gov/mission/imap,https://www.youtube.com/watch?v=uHBejoN6LQY,https://www.spacex.com/launches/imap,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 6-94,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=HrYMzZoL5RA,https://www.spacex.com/launches/sl-6-94,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
NROL-48,https://spacexpatchlist.space,https://www.nro.gov/Launches/launch-nrol-48,https://www.youtube.com/watch?v=8ssKJfHvjgg,https://www.spacex.com/launches/nrol-48,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_CALIFORNIA_LANDING_ZONE_DESKTOP_ab4e183b01.webp
Starlink Group 6-85,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=-scO62MLNL0,https://www.spacex.com/launches/sl-6-85,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 6-89,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=ub0DqULiKdY,https://www.spacex.com/launches/sl-6-89,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 6-87,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=J3GGY0N_Hak,https://www.spacex.com/launches/sl-6-87,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 11-15,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=PobJVuhJA-g,https://www.spacex.com/launches/sl-11-15,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 11-25,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=N_9T7LFxIiA,https://www.spacex.com/launches/sl-11-25,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 11-30,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=K7TtY--vGOk,https://www.spacex.com/launches/sl-11-30,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 6-81,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=XmHDlhL4yro,https://www.spacex.com/launches/sl-6-81,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 11-14,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=AHEdu6wVNJc,https://www.spacex.com/launches/sl-11-14,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 11-23,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=bjMWs_W_WKM,https://www.spacex.com/launches/sl-11-23,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 11-21,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=X7gTcwaNgYc,https://www.spacex.com/launches/sl-11-21,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 11-12,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=0rxFbWs_POU,https://www.spacex.com/launches/sl-11-12,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 11-5,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=qA1KTPs-KOY,https://www.spacex.com/launches/sl-11-5,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 11-19,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=bjMWs_W_WKM,https://www.spacex.com/launches/sl-11-19,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 11-20,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=bjMWs_W_WKM,https://www.spacex.com/launches/sl-11-20,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 11-39,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=uJ5J0PYGPKs,https://www.spacex.com/launches/sl-11-39,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 11-17,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=bjMWs_W_WKM,https://www.spacex.com/launches/sl-11-17,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 10-51,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=ub0DqULiKdY,https://www.spacex.com/launches/sl-10-51,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 10-37,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=JGBbBRXOcE4,https://www.spacex.com/launches/sl-10-37,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 10-21,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=ub0DqULiKdY,https://www.spacex.com/launches/sl-10-21,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 10-17,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=ub0DqULiKdY,https://www.spacex.com/launches/sl-10-17,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 10-52,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=ub0DqULiKdY,https://www.spacex.com/launches/sl-10-52,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 10-15,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=8PNwT_unq54,https://www.spacex.com/launches/sl-10-15,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 10-27,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=ub0DqULiKdY,https://www.spacex.com/launches/sl-10-27,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 10-59,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=ub0DqULiKdY,https://www.spacex.com/launches/sl-10-59,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Starlink Group 17-11,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=bjMWs_W_WKM,https://www.spacex.com/launches/sl-17-11,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_CALIFORNIA_DRONESHIP_DESKTOP_f7b8e9c3d4.webp
Starlink Group 17-12,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=bjMWs_W_WKM,https://www.spacex.com/launches/sl-17-12,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_CALIFORNIA_DRONESHIP_DESKTOP_f7b8e9c3d4.webp
